Instruction, Times Executed
ADD, 4544
SUB, 0
FADD, 0
FSUB, 0
FMUL, 0
FDIV, 0
FSQRT, 0
FNEG, 0
FABS, 0
FLOOR, 0
FEQ, 0
FLT, 0
FLE, 0
ITOF, 0
FTOI, 0
ADDI, 738
SLLI, 0
SRAI, 0
LW, 176
LUI, 2
BEQ, 0
BNE, 0
BLT, 190
BGE, 0
BNEI, 0
SW, 179
JUMP, 11
JUMPR, 0
CALL, 178
CALLR, 0
RET, 178
(FSIN), 0
(FCOS), 0
(ATAN), 0
,
Address, Instruction, Times Executed, Branch Taken Times, Branch Untaken Times
0, "nop", 1, N/A, N/A
1, " 	lui hp, 4096", , ,
2, " nop", , ,
3, " nop", , ,
4, " ", , ,
5, "nop", 1, N/A, N/A
6, " 	addi hp, hp, 0", , ,
7, " nop", , ,
8, " nop", , ,
9, " ", , ,
10, "	jump min_caml_start", 1, N/A, N/A
11, " nop", , ,
12, " nop", , ,
13, " nop", , ,
14, " ", , ,
15, "print_char:", , ,
16, "	ret", 0, N/A, N/A
17, " nop", , ,
18, "     sw a0, 0(zero)", , ,
19, " nop", , ,
20, " ", , ,
21, "print_int:", , ,
22, "	addi a2, zero, 48", 1, N/A, N/A
23, " 	addi a1, zero, 48", , ,
24, " nop", , ,
25, " nop", , ,
26, " ", , ,
27, "	addi a4, zero, 100", 1, N/A, N/A
28, " 	addi a3, zero, 48", , ,
29, " nop", , ,
30, " nop", , ,
31, " ", , ,
32, "	addi a6, zero, 1", 1, N/A, N/A
33, " 	addi a5, zero, 10", , ,
34, " nop", , ,
35, " nop", , ,
36, " ", , ,
37, "nop", 1, N/A, N/A
38, " 	addi a7, zero, 48", , ,
39, " nop", , ,
40, " nop", , ,
41, " ", , ,
42, "print_int_l1:", , ,
43, "	blt a0, a4, print_int_l2", 1, N/A, N/A
44, " nop", , ,
45, " nop", , ,
46, " nop", , ,
47, " ", , ,
48, "	addi a0, a0, -100", 0, N/A, N/A
49, " 	addi a1, a1, 1", , ,
50, " nop", , ,
51, " nop", , ,
52, " ", , ,
53, "	jump print_int_l1", 0, N/A, N/A
54, " nop", , ,
55, " nop", , ,
56, " nop", , ,
57, " ", , ,
58, "print_int_l2:", , ,
59, "	blt a0, a5, print_int_l3", 6, N/A, N/A
60, " nop", , ,
61, " nop", , ,
62, " nop", , ,
63, " ", , ,
64, "	addi a0, a0, -10", 5, 5, 0
65, " 	addi a2, a2, 1", , ,
66, " nop", , ,
67, " nop", , ,
68, " ", , ,
69, "	jump print_int_l2", 5, N/A, N/A
70, " nop", , ,
71, " nop", , ,
72, " nop", , ,
73, " ", , ,
74, "print_int_l3:", , ,
75, "	blt a0, a6, print_int_l4", 6, N/A, N/A
76, " nop", , ,
77, " nop", , ,
78, " nop", , ,
79, " ", , ,
80, "	addi a0, a0, -1", 5, N/A, N/A
81, " 	addi a3, a3, 1", , ,
82, " nop", , ,
83, " nop", , ,
84, " ", , ,
85, "	jump print_int_l3", 5, N/A, N/A
86, " nop", , ,
87, " nop", , ,
88, " nop", , ,
89, " ", , ,
90, "print_int_l4:", , ,
91, "nop", 1, N/A, N/A
92, " nop", , ,
93, " 	sw a1, 0(zero)", , ,
94, " nop", , ,
95, " ", , ,
96, "nop", 1, N/A, N/A
97, " nop", , ,
98, " 	sw a2, 0(zero)", , ,
99, " nop", , ,
100, " ", , ,
101, "	ret", 1, N/A, N/A
102, " nop", , ,
103, " 	sw a3, 0(zero)", , ,
104, " nop", , ,
105, " ", , ,
106, "read_int:", , ,
107, "nop", 0, N/A, N/A
108, " nop", , ,
109, "     lw a0, 0(zero)", , ,
110, " nop", , ,
111, " ", , ,
112, "nop", 0, 0, 0
113, " nop", , ,
114, "     lw a1, 0(zero)", , ,
115, " nop", , ,
116, " ", , ,
117, "nop", 0, N/A, N/A
118, "     slli a1, a1, 8", , ,
119, " nop", , ,
120, " nop", , ,
121, " ", , ,
122, "nop", 0, N/A, N/A
123, "     add a0, a0, a1", , ,
124, "     lw a1, 0(zero)", , ,
125, " nop", , ,
126, " ", , ,
127, "nop", 0, N/A, N/A
128, "     slli a1, a1, 16", , ,
129, " nop", , ,
130, " nop", , ,
131, " ", , ,
132, "nop", 0, N/A, N/A
133, "     add a0, a0, a1", , ,
134, "     lw a1 , 0(zero)", , ,
135, " nop", , ,
136, " ", , ,
137, "nop", 0, N/A, N/A
138, "     slli a1, a1, 24", , ,
139, " nop", , ,
140, " nop", , ,
141, " ", , ,
142, "nop", 0, N/A, N/A
143, "     add a0, a0, a1", , ,
144, " nop", , ,
145, " nop", , ,
146, " ", , ,
147, "	ret", 0, N/A, N/A
148, " nop", , ,
149, " nop", , ,
150, " nop", , ,
151, " ", , ,
152, "read_float:", , ,
153, "nop", 0, N/A, N/A
154, " nop", , ,
155, "     lw a0, 0(zero)", , ,
156, " nop", , ,
157, " ", , ,
158, "nop", 0, N/A, N/A
159, " nop", , ,
160, "     lw a1, 0(zero)", , ,
161, " nop", , ,
162, " ", , ,
163, "nop", 0, N/A, N/A
164, "     slli a1, a1, 8", , ,
165, " nop", , ,
166, " nop", , ,
167, " ", , ,
168, "nop", 0, 0, 0
169, "     add a0, a0, a1", , ,
170, "     lw a1, 0(zero)", , ,
171, " nop", , ,
172, " ", , ,
173, "nop", 0, N/A, N/A
174, "     slli a1, a1, 16", , ,
175, " nop", , ,
176, " nop", , ,
177, " ", , ,
178, "nop", 0, N/A, N/A
179, "     add a0, a0, a1", , ,
180, "     lw a1 , 0(zero)", , ,
181, " nop", , ,
182, " ", , ,
183, "nop", 0, N/A, N/A
184, "     slli a1, a1, 24", , ,
185, " nop", , ,
186, " nop", , ,
187, " ", , ,
188, "nop", 0, 0, 0
189, "     add a0, a0, a1", , ,
190, " nop", , ,
191, " nop", , ,
192, " ", , ,
193, "nop", 0, N/A, N/A
194, " 	addi f0, a0, 0", , ,
195, " nop", , ,
196, " nop", , ,
197, " ", , ,
198, "	ret", 0, N/A, N/A
199, " nop", , ,
200, " nop", , ,
201, " nop", , ,
202, " ", , ,
203, "fiszero:", , ,
204, "	ret", 0, 0, 0
205, "     feq a0, f0, fzero", , ,
206, " nop", , ,
207, " nop", , ,
208, " ", , ,
209, "fispos:", , ,
210, "	ret", 0, N/A, N/A
211, "     flt a0, fzero, f0", , ,
212, " nop", , ,
213, " nop", , ,
214, " ", , ,
215, "fisneg:", , ,
216, "	ret", 0, N/A, N/A
217, "     flt a0, f0, fzero", , ,
218, " nop", , ,
219, " nop", , ,
220, " ", , ,
221, "fneg:", , ,
222, "	ret", 0, N/A, N/A
223, "     fneg f0, f0", , ,
224, " nop", , ,
225, " nop", , ,
226, " ", , ,
227, "fabs:", , ,
228, "nop", 0, 0, 0
229, "     flt a1, f0, fzero", , ,
230, " nop", , ,
231, " nop", , ,
232, " ", , ,
233, "    bne a1, zero, fabs_l1", 0, 0, 0
234, " nop", , ,
235, " nop", , ,
236, " nop", , ,
237, " ", , ,
238, "	ret", 0, N/A, N/A
239, " nop", , ,
240, " nop", , ,
241, " nop", , ,
242, " ", , ,
243, "fabs_l1:", , ,
244, "	ret", 0, 0, 0
245, "     fneg f0, f0", , ,
246, " nop", , ,
247, " nop", , ,
248, " ", , ,
249, "fless:", , ,
250, "	ret", 0, N/A, N/A
251, "     flt a0, f0, f1", , ,
252, " nop", , ,
253, " nop", , ,
254, " ", , ,
255, "fhalf:", , ,
256, "nop", 0, N/A, N/A
257, " 	lui.float f1, 0.5", , ,
258, " nop", , ,
259, " nop", , ,
260, " ", , ,
261, "nop", 0, N/A, N/A
262, " 	addi.float f1, f1, 0.5", , ,
263, " nop", , ,
264, " nop", , ,
265, " ", , ,
266, "nop", 0, N/A, N/A
267, "     fmul f0, f0, f1", , ,
268, " nop", , ,
269, " nop", , ,
270, " ", , ,
271, "	ret", 0, N/A, N/A
272, " nop", , ,
273, " nop", , ,
274, " nop", , ,
275, " ", , ,
276, "floor:", , ,
277, "nop", 0, N/A, N/A
278, "     ftoi a0,f0", , ,
279, " nop", , ,
280, " nop", , ,
281, " ", , ,
282, "nop", 0, N/A, N/A
283, "     itof f1,a0", , ,
284, " nop", , ,
285, " nop", , ,
286, " ", , ,
287, "nop", 0, N/A, N/A
288, "     flt a1,f0,f1", , ,
289, " nop", , ,
290, " nop", , ,
291, " ", , ,
292, "nop", 0, N/A, N/A
293, "     sub a0,a0,a1", , ,
294, " nop", , ,
295, " nop", , ,
296, " ", , ,
297, "nop", 0, 0, 0
298, "     itof f0,a0", , ,
299, " nop", , ,
300, " nop", , ,
301, " ", , ,
302, "	ret", 0, N/A, N/A
303, " nop", , ,
304, " nop", , ,
305, " nop", , ,
306, " ", , ,
307, "int_of_float:", , ,
308, "	ret", 0, 0, 0
309, "     ftoi a0, f0", , ,
310, " nop", , ,
311, " nop", , ,
312, " ", , ,
313, "float_of_int:", , ,
314, "	ret", 0, N/A, N/A
315, "     itof f0, a0", , ,
316, " nop", , ,
317, " nop", , ,
318, " ", , ,
319, "sqrt:", , ,
320, "	ret", 0, N/A, N/A
321, "     fsqrt f0, f0", , ,
322, " nop", , ,
323, " nop", , ,
324, " ", , ,
325, "fsqr:", , ,
326, "	ret", 0, N/A, N/A
327, "     fmul f0, f0, f0", , ,
328, " nop", , ,
329, " nop", , ,
330, " ", , ,
331, "create_array:", , ,
332, "nop", 0, N/A, N/A
333, "     addi a3, a0, 0", , ,
334, " nop", , ,
335, " nop", , ,
336, " ", , ,
337, "create_array_loop:", , ,
338, "    bge zero, a0, create_array_exit", 0, N/A, N/A
339, " nop", , ,
340, " nop", , ,
341, " nop", , ,
342, " ", , ,
343, "create_array_cont:", , ,
344, "nop", 0, N/A, N/A
345, "     addi a0, a0, -1", , ,
346, " nop", , ,
347, " nop", , ,
348, " ", , ,
349, "nop", 0, N/A, N/A
350, "     add a2, a0, hp", , ,
351, " nop", , ,
352, " nop", , ,
353, " ", , ,
354, "nop", 0, N/A, N/A
355, " nop", , ,
356, " nop", , ,
357, "     sw a1, 0(a2)", , ,
358, " ", , ,
359, "    jump create_array_loop", 0, N/A, N/A
360, " nop", , ,
361, " nop", , ,
362, " nop", , ,
363, " ", , ,
364, "create_array_exit:", , ,
365, "    add hp, hp, a3", 0, N/A, N/A
366, "     add a0, hp, zero", , ,
367, " nop", , ,
368, " nop", , ,
369, " ", , ,
370, "	ret", 0, N/A, N/A
371, " nop", , ,
372, " nop", , ,
373, " nop", , ,
374, " ", , ,
375, "create_float_array:", , ,
376, "nop", 0, N/A, N/A
377, "     addi a3, a0, 0", , ,
378, " nop", , ,
379, " nop", , ,
380, " ", , ,
381, "create_float_array_loop:", , ,
382, "    bge zero, a0, create_float_array_exit", 0, N/A, N/A
383, " nop", , ,
384, " nop", , ,
385, " nop", , ,
386, " ", , ,
387, "create_float_array_cont:", , ,
388, "nop", 0, 0, 0
389, "     addi a0, a0, -1", , ,
390, " nop", , ,
391, " nop", , ,
392, " ", , ,
393, "nop", 0, N/A, N/A
394, "     add a2, a0, hp", , ,
395, " nop", , ,
396, " nop", , ,
397, " ", , ,
398, "nop", 0, N/A, N/A
399, " nop", , ,
400, " nop", , ,
401, " 	sw f0, 0(a2)", , ,
402, " ", , ,
403, "    jump create_float_array_loop", 0, N/A, N/A
404, " nop", , ,
405, " nop", , ,
406, " nop", , ,
407, " ", , ,
408, "create_float_array_exit:", , ,
409, "    add hp, hp, a3", 0, N/A, N/A
410, "     add a0, hp, zero", , ,
411, " nop", , ,
412, " nop", , ,
413, " ", , ,
414, "	ret", 0, N/A, N/A
415, " nop", , ,
416, " nop", , ,
417, " nop", , ,
418, " ", , ,
419, "create_global_array:", , ,
420, "    addi a0, a1, 0", 0, N/A, N/A
421, "     addi a3, a0, 0", , ,
422, " nop", , ,
423, " nop", , ,
424, " ", , ,
425, "nop", 0, N/A, N/A
426, "     addi a1, a2, 0", , ,
427, " nop", , ,
428, " nop", , ,
429, " ", , ,
430, "create_global_array_loop:", , ,
431, "    bge zero, a0, create_global_array_exit", 0, N/A, N/A
432, " nop", , ,
433, " nop", , ,
434, " nop", , ,
435, " ", , ,
436, "create_global_array_cont:", , ,
437, "nop", 0, N/A, N/A
438, "     addi a0, a0, -1", , ,
439, " nop", , ,
440, " nop", , ,
441, " ", , ,
442, "nop", 0, N/A, N/A
443, "     add a4, a0, a3", , ,
444, " nop", , ,
445, " nop", , ,
446, " ", , ,
447, "nop", 0, N/A, N/A
448, " nop", , ,
449, " nop", , ,
450, "     sw a1, 0(a4)", , ,
451, " ", , ,
452, "    jump create_global_array_loop", 0, N/A, N/A
453, " nop", , ,
454, " nop", , ,
455, " nop", , ,
456, " ", , ,
457, "create_global_array_exit:", , ,
458, "	ret", 0, N/A, N/A
459, "     add a0, a3, zero", , ,
460, " nop", , ,
461, " nop", , ,
462, " ", , ,
463, "create_global_float_array:", , ,
464, "    addi a0, a1, 0", 0, N/A, N/A
465, "     addi a3, a0, 0", , ,
466, " nop", , ,
467, " nop", , ,
468, " ", , ,
469, "create_global_float_array_loop:", , ,
470, "    bge zero, a0, create_global_float_array_exit", 0, N/A, N/A
471, " nop", , ,
472, " nop", , ,
473, " nop", , ,
474, " ", , ,
475, "create_global_float_array_cont:", , ,
476, "nop", 0, N/A, N/A
477, "     addi a0, a0, -1", , ,
478, " nop", , ,
479, " nop", , ,
480, " ", , ,
481, "nop", 0, N/A, N/A
482, "     add a4, a0, a3", , ,
483, " nop", , ,
484, " nop", , ,
485, " ", , ,
486, "nop", 0, N/A, N/A
487, " nop", , ,
488, " nop", , ,
489, " 	sw f0, 0(a4)", , ,
490, " ", , ,
491, "    jump create_global_float_array_loop", 0, N/A, N/A
492, " nop", , ,
493, " nop", , ,
494, " nop", , ,
495, " ", , ,
496, "create_global_float_array_exit:", , ,
497, "	ret", 0, N/A, N/A
498, "     add a0, a3, zero", , ,
499, " nop", , ,
500, " nop", , ,
501, " ", , ,
502, "pi_div.122:", , ,
503, "nop", 0, N/A, N/A
504, " 	lui.float f2, 0.000000", , ,
505, " nop", , ,
506, " nop", , ,
507, " ", , ,
508, "nop", 0, N/A, N/A
509, " 	addi.float f2, f2, 0.000000", , ,
510, " nop", , ,
511, " nop", , ,
512, " ", , ,
513, "nop", 0, N/A, N/A
514, " 	feq a20, f2, f0", , ,
515, " nop", , ,
516, " nop", , ,
517, " ", , ,
518, "	beq a20, zero, fbe_else.313", 0, N/A, N/A
519, " nop", , ,
520, " nop", , ,
521, " nop", , ,
522, " ", , ,
523, "	ret", 0, N/A, N/A
524, " nop", , ,
525, " nop", , ,
526, " nop", , ,
527, " ", , ,
528, "fbe_else.313:", , ,
529, "nop", 0, N/A, N/A
530, " 	lui.float f2, 0.000000", , ,
531, " nop", , ,
532, " nop", , ,
533, " ", , ,
534, "nop", 0, N/A, N/A
535, " 	addi.float f2, f2, 0.000000", , ,
536, " nop", , ,
537, " nop", , ,
538, " ", , ,
539, "nop", 0, N/A, N/A
540, " 	fle a20, f0, f2", , ,
541, " nop", , ,
542, " nop", , ,
543, " ", , ,
544, "	beq a20, zero, fble_else.314", 0, 0, 0
545, " nop", , ,
546, " nop", , ,
547, " nop", , ,
548, " ", , ,
549, "nop", 0, N/A, N/A
550, " 	fneg f2, f0", , ,
551, " nop", , ,
552, " nop", , ,
553, " ", , ,
554, "nop", 0, N/A, N/A
555, " 	fle a20, f2, f1", , ,
556, " nop", , ,
557, " nop", , ,
558, " ", , ,
559, "	beq a20, zero, fble_else.315", 0, N/A, N/A
560, " nop", , ,
561, " nop", , ,
562, " nop", , ,
563, " ", , ,
564, "nop", 0, N/A, N/A
565, " 	fadd f0, f0, f1", , ,
566, " nop", , ,
567, " nop", , ,
568, " ", , ,
569, "	addi sp, sp, -3", 0, N/A, N/A
570, " 	addi f0, f1, 0", , ,
571, " nop", , ,
572, " 	sw f0, 0(sp)", , ,
573, " ", , ,
574, "	call fhalf", 0, N/A, N/A
575, " nop", , ,
576, " nop", , ,
577, " nop", , ,
578, " ", , ,
579, "	fadd f1, f0, fzero", 0, N/A, N/A
580, " 	addi sp, sp, 3", , ,
581, " nop", , ,
582, " nop", , ,
583, " ", , ,
584, "nop", 0, N/A, N/A
585, " nop", , ,
586, " nop", , ,
587, " 	lw f0, 0(sp)", , ,
588, " ", , ,
589, "	jump pi_div.122", 0, N/A, N/A
590, " nop", , ,
591, " nop", , ,
592, " nop", , ,
593, " ", , ,
594, "fble_else.315:", , ,
595, "nop", 0, N/A, N/A
596, " 	lui.float f2, 2.000000", , ,
597, " nop", , ,
598, " nop", , ,
599, " ", , ,
600, "nop", 0, N/A, N/A
601, " 	addi.float f2, f2, 2.000000", , ,
602, " nop", , ,
603, " nop", , ,
604, " ", , ,
605, "nop", 0, N/A, N/A
606, " 	fmul f1, f1, f2", , ,
607, " nop", , ,
608, " nop", , ,
609, " ", , ,
610, "	jump pi_div.122", 0, N/A, N/A
611, " nop", , ,
612, " nop", , ,
613, " nop", , ,
614, " ", , ,
615, "fble_else.314:", , ,
616, "	lui.float f3, 2.000000", 0, N/A, N/A
617, " 	lui.float f2, 3.141593", , ,
618, " nop", , ,
619, " nop", , ,
620, " ", , ,
621, "	addi.float f3, f3, 2.000000", 0, N/A, N/A
622, " 	addi.float f2, f2, 3.141593", , ,
623, " nop", , ,
624, " nop", , ,
625, " ", , ,
626, "nop", 0, N/A, N/A
627, " 	fmul f2, f2, f3", , ,
628, " nop", , ,
629, " nop", , ,
630, " ", , ,
631, "nop", 0, N/A, N/A
632, " 	fle a20, f2, f0", , ,
